2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,910 | INFO | services.data_service | Generando datos fake
2025-11-01 19:01:36,963 | INFO | services.data_service | Datos generados
2025-11-01 19:01:36,963 | INFO | services.data_service | Datos generados
2025-11-01 19:01:36,963 | INFO | services.data_service | Datos generados
2025-11-01 19:01:36,963 | INFO | services.data_service | Datos generados
2025-11-01 19:01:36,963 | INFO | services.data_service | Datos generados
2025-11-01 19:01:36,963 | INFO | services.data_service | Datos generados
2025-11-01 19:01:36,963 | INFO | services.data_service | Datos generados
2025-11-01 19:01:36,963 | INFO | services.data_service | Datos generados
